unitid,sgtype,functcd,"xstaff01",staff01,"xstaff02",staff02,"xstaff03",staff03,"xstaff04",staff04,"xstaff05",staff05,"xstaff06",staff06,"xstaff07",staff07,"xstaff08",staff08,"xstaff09",staff09,"xstaff10",staff10,"xstaff11",staff11,"xstaff12",staff12,"xstaff13",staff13,"xstaff14",staff14,"xstaff15",staff15,"xstaff16",staff16,"xstaff17",staff17,"xstaff18",staff18,"xstaff19",staff19,"xstaff20",staff20,"xstaff21",staff21,"xstaff22",staff22,"xstaff23",staff23,"xstaff24",staff24
229355,7,99,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",2,"R",7,"Z",0,"Z",0,"R",3,"R",7,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",9,"Z",0,"R",10
229355,8,4,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",2,"Z",0,"Z",0,"R",1,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"Z",0,"R",3
229355,9,6,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",1,"R",5,"Z",0,"Z",0,"R",2,"R",5,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",6,"Z",0,"R",7
229355,10,99,"Z",0,"R",1,"R",1,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"R",2,"R",5,"Z",0,"Z",0,"R",3,"R",11,"R",1,"R",3,"Z",0,"Z",0,"R",3,"R",7,"Z",0,"R",14
229355,11,7,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",2,"Z",0,"Z",0,"R",2,"R",3,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"R",4,"Z",0,"R",5
229355,12,8,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",3,"Z",0,"Z",0,"Z",0,"R",4,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",3,"Z",0,"R",4
229355,14,10,"Z",0,"Z",0,"R",1,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",4,"Z",0,"R",3,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"R",5
229540,1,13,"R",0,"R",0,"R",1,"R",1,"R",0,"R",0,"R",0,"R",1,"R",2,"R",6,"R",4,"R",8,"R",0,"R",0,"R",7,"R",16,"Z",0,"R",2,"Z",0,"R",1,"R",8,"R",12,"Z",0,"R",23
229540,2,11,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1,"R",4,"R",4,"R",0,"R",0,"R",4,"R",5,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",8,"Z",0,"R",9
229540,4,2,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1,"R",4,"R",4,"R",0,"R",0,"R",4,"R",5,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",8,"Z",0,"R",9
229540,6,12,"R",0,"R",0,"R",1,"R",1,"R",0,"R",0,"R",0,"R",1,"R",2,"R",5,"R",0,"R",4,"R",0,"R",0,"R",3,"R",11,"Z",0,"R",2,"Z",0,"R",1,"R",7,"R",4,"Z",0,"R",14
229540,7,99,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",2,"R",5,"Z",0,"R",2,"Z",0,"Z",0,"R",3,"R",8,"Z",0,"R",1,"Z",0,"R",1,"R",7,"R",2,"Z",0,"R",11
229540,8,4,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1,"R",0,"R",0,"R",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",1
229540,9,6,"R",0,"R",0,"R",1,"R",0,"R",0,"R",0,"R",0,"R",1,"R",2,"R",5,"R",0,"R",1,"R",0,"R",0,"R",3,"R",7,"Z",0,"R",1,"Z",0,"R",1,"R",7,"R",1,"Z",0,"R",10
229540,10,99,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"R",3,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"R",3
229540,12,8,"R",0,"R",0,"R",0,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2,"R",0,"R",0,"R",0,"R",3,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"R",3
229814,1,13,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"R",1,"R",2,"R",28,"R",29,"Z",0,"Z",0,"R",30,"R",32,"Z",0,"R",1,"R",1,"Z",0,"R",3,"R",57,"Z",0,"R",62
229814,2,11,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"R",15,"R",12,"Z",0,"Z",0,"R",15,"R",13,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"R",27,"Z",0,"R",28
229814,4,2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"R",12,"R",8,"Z",0,"Z",0,"R",12,"R",9,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"R",20,"Z",0,"R",21
229814,5,3,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"R",4,"Z",0,"Z",0,"R",3,"R",4,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",7,"Z",0,"R",7
229814,6,12,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",2,"R",13,"R",17,"Z",0,"Z",0,"R",15,"R",19,"Z",0,"R",1,"Z",0,"Z",0,"R",3,"R",30,"Z",0,"R",34
229814,7,99,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",6,"R",8,"Z",0,"Z",0,"R",6,"R",9,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",14,"Z",0,"R",15
229814,8,4,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"R",2
229814,9,6,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",5,"R",7,"Z",0,"Z",0,"R",5,"R",8,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",12,"Z",0,"R",13
229814,10,99,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",1,"R",7,"R",9,"Z",0,"Z",0,"R",9,"R",10,"Z",0,"R",1,"Z",0,"Z",0,"R",2,"R",16,"Z",0,"R",19
229814,11,7,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",1,"R",3,"Z",0,"Z",0,"R",2,"R",3,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",4,"Z",0,"R",5
229814,12,8,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",6,"Z",0,"Z",0,"Z",0,"R",7,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",6,"Z",0,"R",7
229814,13,9,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",6,"Z",0,"Z",0,"Z",0,"R",6,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",6,"Z",0,"R",6
229814,14,10,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1
